Category,Amount,Percentage,Monthly
Transfer,100.0,-3.320350761854482,inf
Savings,0.0,-0.0,
Fun,-12.99,0.4313135639648973,-inf
It,-24.339999999999996,0.8081733754353809,-inf
Energy,-33.55,1.1139776806021786,-inf
Cash,-53.95,1.7913292360204933,-inf
Travel,-79.78,2.648975837807506,-inf
Communication,-146.93,4.878591374392792,-inf
Health,-257.40999999999997,8.546914896089621,-inf
Food,-505.11,16.771423733203175,-inf
Debt,-555.96,18.45982209560618,-inf
Exchange,-651.71,21.639057950081845,-inf
Rent,-790.0,26.23077101865041,-inf
